Series ID,Year,Period,Value
CUUR0000SAF,2023,M12,322.933
CUUR0000SAF,2023,M11,322.703
CUUR0000SAF,2023,M10,323.262
CUUR0000SAF,2023,M09,322.249
CUUR0000SAF,2023,M08,321.578
CUUR0000SAF,2023,M07,321.020
CUUR0000SAF,2023,M06,320.120
CUUR0000SAF,2023,M05,319.811
CUUR0000SAF,2023,M04,319.085
CUUR0000SAF,2023,M03,318.338
CUUR0000SAF,2023,M02,318.050
CUUR0000SAF,2023,M01,316.705
CUUR0000SAF,2022,M12,314.459
CUUR0000SAF,2022,M11,313.467
CUUR0000SAF,2022,M10,312.860
CUUR0000SAF,2022,M09,310.678
CUUR0000SAF,2022,M08,308.550
CUUR0000SAF,2022,M07,306.278
CUUR0000SAF,2022,M06,302.967
CUUR0000SAF,2022,M05,300.081
CUUR0000SAF,2022,M04,296.915
CUUR0000SAF,2022,M03,294.064
CUUR0000SAF,2022,M02,291.244
CUUR0000SAF,2022,M01,288.264
CUUR0000SAF,2021,M12,285.556
CUUR0000SAF,2021,M11,284.168
CUUR0000SAF,2021,M10,282.943
CUUR0000SAF,2021,M09,280.452
CUUR0000SAF,2021,M08,278.201
CUUR0000SAF,2021,M07,277.187
CUUR0000SAF,2021,M06,275.380
CUUR0000SAF,2021,M05,273.441
CUUR0000SAF,2021,M04,272.367
CUUR0000SAF,2021,M03,271.135
CUUR0000SAF,2021,M02,270.672
CUUR0000SAF,2021,M01,270.260
CUUR0000SAF,2020,M12,269.383
CUUR0000SAF,2020,M11,268.539
CUUR0000SAF,2020,M10,269.169
CUUR0000SAF,2020,M09,268.465
CUUR0000SAF,2020,M08,268.383
CUUR0000SAF,2020,M07,268.132
CUUR0000SAF,2020,M06,269.051
CUUR0000SAF,2020,M05,267.792
CUUR0000SAF,2020,M04,266.137
CUUR0000SAF,2020,M03,262.320
CUUR0000SAF,2020,M02,261.487
CUUR0000SAF,2020,M01,260.638
CUUR0000SAF,2019,M12,259.403
CUUR0000SAF,2019,M11,259.080
CUUR0000SAF,2019,M10,259.284
CUUR0000SAF,2019,M09,258.646
CUUR0000SAF,2019,M08,258.154
CUUR0000SAF,2019,M07,258.015
CUUR0000SAF,2019,M06,257.778
CUUR0000SAF,2019,M05,257.791
CUUR0000SAF,2019,M04,257.393
CUUR0000SAF,2019,M03,257.430
CUUR0000SAF,2019,M02,256.997
CUUR0000SAF,2019,M01,256.185
CUUR0000SAF,2018,M12,255.023
CUUR0000SAF,2018,M11,254.262
CUUR0000SAF,2018,M10,254.203
CUUR0000SAF,2018,M09,254.178
CUUR0000SAF,2018,M08,253.779
CUUR0000SAF,2018,M07,253.476
CUUR0000SAF,2018,M06,253.022
CUUR0000SAF,2018,M05,252.848
CUUR0000SAF,2018,M04,252.999
CUUR0000SAF,2018,M03,252.182
CUUR0000SAF,2018,M02,252.076
CUUR0000SAF,2018,M01,252.109
CUUR0000SAF,2017,M12,251.024
CUUR0000SAF,2017,M11,250.694
CUUR0000SAF,2017,M10,251.130
CUUR0000SAF,2017,M09,250.735
CUUR0000SAF,2017,M08,250.212
CUUR0000SAF,2017,M07,249.930
