Period,Category,Inflation Rate
2024-01-01,Food at home,-0.0020835749996431785
2024-02-01,Food at home,-0.024729566681523887
2024-03-01,Food at home,-0.009505075100190163
2024-04-01,Food at home,0.10898703869088744
2024-05-01,Food at home,0.10624842589833523
2024-06-01,Food at home,0.1378432200745513
2024-07-01,Food at home,0.2514859121854874
2024-08-01,Food at home,0.11137851844868038
2024-09-01,Food at home,0.1636411444190799
2024-10-01,Food at home,-0.2711351036386637
2024-11-01,Food at home,-0.08516573419975515
2024-12-01,Food at home,-0.16209794772838032
2025-01-01,Food at home,-0.04827063796835432
2025-02-01,Food at home,-0.06302785986531137
2025-03-01,Food at home,-0.046776790658957824
2025-04-01,Food at home,0.0721082311232788
2025-05-01,Food at home,0.06937051071970843
2025-06-01,Food at home,0.10085907208704444
2025-07-01,Food at home,0.21472550129378243
2025-08-01,Food at home,0.07451902142414701
2025-09-01,Food at home,0.1267338846072753
2025-10-01,Food at home,-0.3075949984232687
2025-11-01,Food at home,-0.12230230257758279
2025-12-01,Food at home,-0.19887806160064977
2026-01-01,Food at home,-0.08508082300030904
2026-02-01,Food at home,-0.09984347498367838
2026-03-01,Food at home,-0.0835931124023002
2026-04-01,Food at home,0.03529163892895031
2026-05-01,Food at home,0.03255391791117107
2026-06-01,Food at home,0.06404255240199279
2026-07-01,Food at home,0.17790882760325677
2026-08-01,Food at home,0.03770241593780997
2026-09-01,Food at home,0.08991731199760879
2026-10-01,Food at home,-0.3444118789687452
2026-11-01,Food at home,-0.15911871734675048
2026-12-01,Food at home,-0.23569472172897662
2027-01-01,Food at home,-0.12189746242968458
2027-02-01,Food at home,-0.13666011067534992
2027-03-01,Food at home,-0.12040974760757892
2027-04-01,Food at home,-0.001524996090168235
2027-05-01,Food at home,-0.004262717107524695
2027-06-01,Food at home,0.027225917332963777
2027-07-01,Food at home,0.14109219264023468
2027-08-01,Food at home,0.0008857809278407441
2027-09-01,Food at home,0.05310067696500948
2027-10-01,Food at home,-0.3812285137893824
2027-11-01,Food at home,-0.1959353524879965
