Period,Category,Inflation Rate
2024-01-01,Food at home,-0.1437415351535205
2024-02-01,Food at home,-0.052348221043571994
2024-03-01,Food at home,-0.00724017197266634
2024-04-01,Food at home,-0.09332896233116729
2024-05-01,Food at home,-0.09801428849650362
2024-06-01,Food at home,-0.10516288419417211
2024-07-01,Food at home,-0.09542492960817558
2024-08-01,Food at home,-0.07773317193487667
2024-09-01,Food at home,-0.07998498590007548
2024-10-01,Food at home,-0.08369903929813013
2024-11-01,Food at home,-0.08810245421352528
2024-12-01,Food at home,-0.08967045200435146
2025-01-01,Food at home,-0.08740779581522409
2025-02-01,Food at home,-0.08583530796648622
2025-03-01,Food at home,-0.08535695070685596
2025-04-01,Food at home,-0.0858851654586319
2025-05-01,Food at home,-0.08664934235804118
2025-06-01,Food at home,-0.08683092104137213
2025-07-01,Food at home,-0.08664011465973431
2025-08-01,Food at home,-0.08637890759963611
2025-09-01,Food at home,-0.08627189548399024
2025-10-01,Food at home,-0.08634210048161721
2025-11-01,Food at home,-0.08644157717898023
2025-12-01,Food at home,-0.08648460116144066
2026-01-01,Food at home,-0.08646527656482407
2026-02-01,Food at home,-0.08642635466888038
2026-03-01,Food at home,-0.08640819410681479
2026-04-01,Food at home,-0.08641411255243713
2026-05-01,Food at home,-0.08642828024227601
2026-06-01,Food at home,-0.08643612646398398
2026-07-01,Food at home,-0.08643449517301241
2026-08-01,Food at home,-0.08642923128195242
2026-09-01,Food at home,-0.08642604198201434
2026-10-01,Food at home,-0.08642636449797624
2026-11-01,Food at home,-0.08642830654683403
2026-12-01,Food at home,-0.0864296040941575
2027-01-01,Food at home,-0.08642957950738199
2027-02-01,Food at home,-0.08642887897826129
2027-03-01,Food at home,-0.08642835529235317
2027-04-01,Food at home,-0.08642832578146514
2027-05-01,Food at home,-0.08642857745022609
2027-06-01,Food at home,-0.08642878513946393
2027-07-01,Food at home,-0.08642881155321218
2027-08-01,Food at home,-0.08642872233627853
2027-09-01,Food at home,-0.08642864053898569
2027-10-01,Food at home,-0.08642862496510922
2027-11-01,Food at home,-0.0864286560497406
2027-12-01,Food at home,-0.0864286879762036
2028-01-01,Food at home,-0.08642869598026223
2028-02-01,Food at home,-0.0864286853202154
2028-03-01,Food at home,-0.0864286729815013
2028-04-01,Food at home,-0.08642866916611203
2028-05-01,Food at home,-0.0864286727411324
2028-06-01,Food at home,-0.08642867747194864
2028-07-01,Food at home,-0.08642867920308638
2028-08-01,Food at home,-0.08642867803836071
2028-09-01,Food at home,-0.08642867623982003
2028-10-01,Food at home,-0.08642867547985233
2028-11-01,Food at home,-0.08642867584499296
2028-12-01,Food at home,-0.08642867652286702
2029-01-01,Food at home,-0.0864286768482205
2029-02-01,Food at home,-0.08642867674023633
2029-03-01,Food at home,-0.08642867648691295
2029-04-01,Food at home,-0.08642867635038226
2029-05-01,Food at home,-0.08642867637931907
2029-06-01,Food at home,-0.08642867647313744
2029-07-01,Food at home,-0.08642867652950807
2029-08-01,Food at home,-0.08642867652322021
2029-09-01,Food at home,-0.08642867648880437
2029-10-01,Food at home,-0.0864286764658508
2029-11-01,Food at home,-0.0864286764664223
2029-12-01,Food at home,-0.08642867647891878
2030-01-01,Food at home,-0.08642867648815243
2030-02-01,Food at home,-0.08642867648863108
2030-03-01,Food at home,-0.08642867648414454
2030-04-01,Food at home,-0.08642867648047015
2030-05-01,Food at home,-0.0864286764800242
2030-06-01,Food at home,-0.08642867648161462
2030-07-01,Food at home,-0.08642867648306232
2030-08-01,Food at home,-0.08642867648333116
2030-09-01,Food at home,-0.0864286764827756
2030-10-01,Food at home,-0.08642867648221048
2030-11-01,Food at home,-0.08642867648207124
2030-12-01,Food at home,-0.08642867648226195
2024-01-01,Food Away from home,0.32203268920174943
2024-02-01,Food Away from home,0.3564901494402062
2024-03-01,Food Away from home,0.3611573457252571
2024-04-01,Food Away from home,0.3525960224724908
2024-05-01,Food Away from home,0.35546004439511164
2024-06-01,Food Away from home,0.3544592272664761
2024-07-01,Food Away from home,0.3521923843124385
2024-08-01,Food Away from home,0.35333172589105954
2024-09-01,Food Away from home,0.35438332394215
2024-10-01,Food Away from home,0.35386400102852145
