Period,Category,Inflation Rate
2023-12-01,Food at home,0.4483942878712862
2024-01-01,Food at home,0.4528276914448368
2024-02-01,Food at home,0.4572610950183875
2024-03-01,Food at home,0.4616944985919381
2024-04-01,Food at home,0.4661279021654887
2024-05-01,Food at home,0.4705613057390393
2024-06-01,Food at home,0.47499470931259
2024-07-01,Food at home,0.4794281128861406
2024-08-01,Food at home,0.4838615164596912
2024-09-01,Food at home,0.4882949200332418
2024-10-01,Food at home,0.4927283236067924
2024-11-01,Food at home,0.4971617271803431
2024-12-01,Food at home,0.5015951307538937
2025-01-01,Food at home,0.5060285343274443
2025-02-01,Food at home,0.5104619379009949
2025-03-01,Food at home,0.5148953414745456
2025-04-01,Food at home,0.5193287450480962
2025-05-01,Food at home,0.5237621486216468
2025-06-01,Food at home,0.5281955521951974
2025-07-01,Food at home,0.532628955768748
2025-08-01,Food at home,0.5370623593422987
2025-09-01,Food at home,0.5414957629158493
2025-10-01,Food at home,0.5459291664893999
2025-11-01,Food at home,0.5503625700629505
2025-12-01,Food at home,0.5547959736365012
2026-01-01,Food at home,0.5592293772100518
2026-02-01,Food at home,0.5636627807836024
2026-03-01,Food at home,0.568096184357153
2026-04-01,Food at home,0.5725295879307036
2026-05-01,Food at home,0.5769629915042543
2026-06-01,Food at home,0.5813963950778049
2026-07-01,Food at home,0.5858297986513555
2026-08-01,Food at home,0.5902632022249061
2026-09-01,Food at home,0.5946966057984567
2026-10-01,Food at home,0.5991300093720074
2026-11-01,Food at home,0.603563412945558
2026-12-01,Food at home,0.6079968165191086
2027-01-01,Food at home,0.6124302200926592
2027-02-01,Food at home,0.61686362366621
2027-03-01,Food at home,0.6212970272397605
2027-04-01,Food at home,0.6257304308133111
2027-05-01,Food at home,0.6301638343868617
2027-06-01,Food at home,0.6345972379604123
2027-07-01,Food at home,0.639030641533963
2027-08-01,Food at home,0.6434640451075136
2027-09-01,Food at home,0.6478974486810642
2027-10-01,Food at home,0.6523308522546148
2027-11-01,Food at home,0.6567642558281656
2027-12-01,Food at home,0.6611976594017162
2028-01-01,Food at home,0.6656310629752668
2028-02-01,Food at home,0.6700644665488174
2028-03-01,Food at home,0.674497870122368
2028-04-01,Food at home,0.6789312736959187
