Period,Category,Inflation Rate
February 2014,Food Away from home,0.28759863288809207
March 2014,Food Away from home,0.28068094578510405
April 2014,Food Away from home,0.2657182900055922
May 2014,Food Away from home,0.16886569117778016
June 2014,Food Away from home,0.19882880557527063
July 2014,Food Away from home,0.3079152327476966
August 2014,Food Away from home,0.2371493920789614
September 2014,Food Away from home,0.307845044655548
October 2014,Food Away from home,0.21151773955381775
November 2014,Food Away from home,0.35324571883711686
December 2014,Food Away from home,0.25437820205010225
February 2015,Food Away from home,0.2695258005746147
March 2015,Food Away from home,0.1533192232351578
April 2015,Food Away from home,0.2435972106348481
May 2015,Food Away from home,0.23358340497866298
June 2015,Food Away from home,0.20523104158670263
July 2015,Food Away from home,0.023060747480905506
August 2015,Food Away from home,0.21257888669623928
September 2015,Food Away from home,0.5385086313457926
October 2015,Food Away from home,0.20672536167242583
November 2015,Food Away from home,0.17107712791692592
December 2015,Food Away from home,0.11282625915263352
February 2016,Food Away from home,0.13886858646396338
March 2016,Food Away from home,0.21665725513695294
April 2016,Food Away from home,0.24302081776122422
May 2016,Food Away from home,0.21298806578540452
June 2016,Food Away from home,0.1736150858154506
July 2016,Food Away from home,0.19883517630432881
August 2016,Food Away from home,0.2273323423974869
September 2016,Food Away from home,0.17181935072766236
October 2016,Food Away from home,0.13517504600496316
November 2016,Food Away from home,0.09075130738602546
December 2016,Food Away from home,0.15300397810342037
February 2017,Food Away from home,0.20557804261139306
March 2017,Food Away from home,0.1608995371794313
April 2017,Food Away from home,0.22354945610454027
May 2017,Food Away from home,0.17784287059315795
June 2017,Food Away from home,0.03617675140232905
July 2017,Food Away from home,0.158076241961032
August 2017,Food Away from home,0.324959333554188
September 2017,Food Away from home,0.30832362478759334
October 2017,Food Away from home,0.11281546718549705
November 2017,Food Away from home,0.18251815944844463
December 2017,Food Away from home,0.24303711571369266
February 2018,Food Away from home,0.2430601381373495
March 2018,Food Away from home,0.10898385356666183
April 2018,Food Away from home,0.24111086350566724
May 2018,Food Away from home,0.33309887642907954
June 2018,Food Away from home,0.18197866381892808
July 2018,Food Away from home,0.11493502726534666
August 2018,Food Away from home,0.18940697148031674
September 2018,Food Away from home,0.22049680460366847
October 2018,Food Away from home,0.09197209819013175
November 2018,Food Away from home,0.2857523791678251
December 2018,Food Away from home,0.39991951305397644
February 2019,Food Away from home,0.3541622084314127
March 2019,Food Away from home,0.1826756653978918
April 2019,Food Away from home,0.32317914625364114
May 2019,Food Away from home,0.21075113685386873
June 2019,Food Away from home,0.3253421032202406
July 2019,Food Away from home,0.2022397613922697
August 2019,Food Away from home,0.21622304670908715
September 2019,Food Away from home,0.25883778681432534
October 2019,Food Away from home,0.19039567365134044
November 2019,Food Away from home,0.16179029327977468
December 2019,Food Away from home,0.2865050216706338
February 2020,Food Away from home,0.22273178458654735
March 2020,Food Away from home,0.15011336146952434
April 2020,Food Away from home,0.14575350773217252
May 2020,Food Away from home,0.36815430826557793
June 2020,Food Away from home,0.5176391540884892
July 2020,Food Away from home,0.47063798730641443
August 2020,Food Away from home,0.2844544618277802
September 2020,Food Away from home,0.5561253329813031
October 2020,Food Away from home,0.2736636596203003
November 2020,Food Away from home,0.12084876113235747
December 2020,Food Away from home,0.3741789688620206
February 2021,Food Away from home,0.05259968972841764
March 2021,Food Away from home,0.11878618486722928
April 2021,Food Away from home,0.30641714606660264
May 2021,Food Away from home,0.5506611578462515
June 2021,Food Away from home,0.7094348575363927
July 2021,Food Away from home,0.7816538735873658
August 2021,Food Away from home,0.4262668696818056
September 2021,Food Away from home,0.5366333048852925
October 2021,Food Away from home,0.8347374242755546
November 2021,Food Away from home,0.6023750605882836
December 2021,Food Away from home,0.5994021826988059
February 2022,Food Away from home,0.44104159688985595
March 2022,Food Away from home,0.2521191722762484
April 2022,Food Away from home,0.5813067900985127
May 2022,Food Away from home,0.7395869068701448
June 2022,Food Away from home,0.9452311996858486
July 2022,Food Away from home,0.7017533195758385
August 2022,Food Away from home,0.8661745266220414
September 2022,Food Away from home,0.944610008018874
October 2022,Food Away from home,0.9375490931294677
November 2022,Food Away from home,0.5092032466846104
December 2022,Food Away from home,0.3777763493890735
February 2023,Food Away from home,0.6341179771867979
March 2023,Food Away from home,0.5964889081809499
April 2023,Food Away from home,0.36948768945888666
May 2023,Food Away from home,0.47119181635191415
June 2023,Food Away from home,0.3834034208766446
July 2023,Food Away from home,0.17417324168302126
August 2023,Food Away from home,0.34407741600960473
September 2023,Food Away from home,0.3945709286879667
October 2023,Food Away from home,0.37371883811484935
November 2023,Food Away from home,0.43447484003298803
December 2023,Food Away from home,0.32770691181327644
February 2014,Food and Beverage,0.28644175684277423
March 2014,Food and Beverage,0.31318378459636875
April 2014,Food and Beverage,0.3650728896955407
May 2014,Food and Beverage,0.39899959768231374
June 2014,Food and Beverage,-0.01569826286328503
July 2014,Food and Beverage,0.2673255463233523
August 2014,Food and Beverage,0.3391381029694188
September 2014,Food and Beverage,0.31335088317308907
October 2014,Food and Beverage,0.21084090723000687
November 2014,Food and Beverage,0.051884383617600296
December 2014,Food and Beverage,0.2788870650301023
February 2015,Food and Beverage,0.06867127184071968
March 2015,Food and Beverage,-0.23551482322176664
April 2015,Food and Beverage,0.02320006186683831
May 2015,Food and Beverage,0.040692422257124966
June 2015,Food and Beverage,0.1622967223383748
July 2015,Food and Beverage,0.12710917988182022
August 2015,Food and Beverage,0.2587626440837471
September 2015,Food and Beverage,0.3616563374811912
October 2015,Food and Beverage,0.19549357088152897
November 2015,Food and Beverage,-0.28361661470380534
December 2015,Food and Beverage,-0.16218178884093082
February 2016,Food and Beverage,0.08781788665046841
March 2016,Food and Beverage,-0.31474005771576424
April 2016,Food and Beverage,0.16876819405920065
May 2016,Food and Beverage,-0.20758177311110113
June 2016,Food and Beverage,-0.1506583730511426
July 2016,Food and Beverage,0.024271157370140118
August 2016,Food and Beverage,0.061876433167382464
September 2016,Food and Beverage,0.09093848516693183
October 2016,Food and Beverage,0.08722162773323901
November 2016,Food and Beverage,-0.24812293987355039
December 2016,Food and Beverage,-0.04529901393754528
February 2017,Food and Beverage,0.210017978506408
March 2017,Food and Beverage,0.14964098232064768
April 2017,Food and Beverage,0.22934766454991945
May 2017,Food and Beverage,0.08455625996841534
June 2017,Food and Beverage,-0.14054110326768038
July 2017,Food and Beverage,0.21331365929157842
August 2017,Food and Beverage,0.11283159284598979
September 2017,Food and Beverage,0.2090227487091045
October 2017,Food and Beverage,0.15753684168543752
November 2017,Food and Beverage,-0.1736152590291909
December 2017,Food and Beverage,0.13163458239926465
February 2018,Food and Beverage,-0.01308957633405212
March 2018,Food and Beverage,0.042050810073150376
April 2018,Food and Beverage,0.3239723691619574
May 2018,Food and Beverage,-0.05968403037165445
June 2018,Food and Beverage,0.06881604758589277
July 2018,Food and Beverage,0.17943103761728535
August 2018,Food and Beverage,0.1195379444207725
September 2018,Food and Beverage,0.15722341092052572
October 2018,Food and Beverage,0.009835627001552332
November 2018,Food and Beverage,0.02320979689460687
December 2018,Food and Beverage,0.2992975749423806
February 2019,Food and Beverage,0.31695844799656964
March 2019,Food and Beverage,0.16848445701700515
April 2019,Food and Beverage,-0.014372839218441735
May 2019,Food and Beverage,0.15462735971841682
June 2019,Food and Beverage,-0.005042844785107629
July 2019,Food and Beverage,0.09193957591414563
August 2019,Food and Beverage,0.05387283685057458
September 2019,Food and Beverage,0.19058391502747143
October 2019,Food and Beverage,0.24666919264167117
November 2019,Food and Beverage,-0.07867820613690306
December 2019,Food and Beverage,0.12467191601051256
February 2020,Food and Beverage,0.32573914778353363
March 2020,Food and Beverage,0.31856268189239617
April 2020,Food and Beverage,1.4550930161634672
May 2020,Food and Beverage,0.6218601697621798
June 2020,Food and Beverage,0.4701410049590782
July 2020,Food and Beverage,-0.3415709289316831
