Category,Year,Period,CPI
Food and Beverage,2023,December,322.933
Food and Beverage,2023,November,322.703
Food and Beverage,2023,October,323.262
Food and Beverage,2023,September,322.249
Food and Beverage,2023,August,321.578
Food and Beverage,2023,July,321.02
Food and Beverage,2023,June,320.12
Food and Beverage,2023,May,319.811
Food and Beverage,2023,April,319.085
Food and Beverage,2023,March,318.338
Food and Beverage,2023,February,318.05
Food and Beverage,2023,January,316.705
Food and Beverage,2022,December,314.459
Food and Beverage,2022,November,313.467
Food and Beverage,2022,October,312.86
Food and Beverage,2022,September,310.678
Food and Beverage,2022,August,308.55
Food and Beverage,2022,July,306.278
Food and Beverage,2022,June,302.967
Food and Beverage,2022,May,300.081
Food and Beverage,2022,April,296.915
Food and Beverage,2022,March,294.064
Food and Beverage,2022,February,291.244
Food and Beverage,2022,January,288.264
Food and Beverage,2021,December,285.556
Food and Beverage,2021,November,284.168
Food and Beverage,2021,October,282.943
Food and Beverage,2021,September,280.452
Food and Beverage,2021,August,278.201
Food and Beverage,2021,July,277.187
Food and Beverage,2021,June,275.38
Food and Beverage,2021,May,273.441
Food and Beverage,2021,April,272.367
Food and Beverage,2021,March,271.135
Food and Beverage,2021,February,270.672
Food and Beverage,2021,January,270.26
Food and Beverage,2020,December,269.383
Food and Beverage,2020,November,268.539
Food and Beverage,2020,October,269.169
Food and Beverage,2020,September,268.465
Food and Beverage,2020,August,268.383
Food and Beverage,2020,July,268.132
Food and Beverage,2020,June,269.051
Food and Beverage,2020,May,267.792
Food and Beverage,2020,April,266.137
Food and Beverage,2020,March,262.32
Food and Beverage,2020,February,261.487
Food and Beverage,2020,January,260.638
Food and Beverage,2019,December,259.403
Food and Beverage,2019,November,259.08
Food and Beverage,2019,October,259.284
Food and Beverage,2019,September,258.646
Food and Beverage,2019,August,258.154
Food and Beverage,2019,July,258.015
Food and Beverage,2019,June,257.778
Food and Beverage,2019,May,257.791
Food and Beverage,2019,April,257.393
Food and Beverage,2019,March,257.43
Food and Beverage,2019,February,256.997
Food and Beverage,2019,January,256.185
Food and Beverage,2018,December,255.023
Food and Beverage,2018,November,254.262
Food and Beverage,2018,October,254.203
Food and Beverage,2018,September,254.178
Food and Beverage,2018,August,253.779
Food and Beverage,2018,July,253.476
Food and Beverage,2018,June,253.022
Food and Beverage,2018,May,252.848
Food and Beverage,2018,April,252.999
Food and Beverage,2018,March,252.182
Food and Beverage,2018,February,252.076
Food and Beverage,2018,January,252.109
Food and Beverage,2017,December,251.024
Food and Beverage,2017,November,250.694
Food and Beverage,2017,October,251.13
Food and Beverage,2017,September,250.735
Food and Beverage,2017,August,250.212
Food and Beverage,2017,July,249.93
Food and Beverage,2017,June,249.398
Food and Beverage,2017,May,249.749
Food and Beverage,2017,April,249.538
Food and Beverage,2017,March,248.967
Food and Beverage,2017,February,248.595
Food and Beverage,2017,January,248.074
Food and Beverage,2016,December,247.134
Food and Beverage,2016,November,247.246
Food and Beverage,2016,October,247.861
Food and Beverage,2016,September,247.645
Food and Beverage,2016,August,247.42
Food and Beverage,2016,July,247.267
Food and Beverage,2016,June,247.207
Food and Beverage,2016,May,247.58
Food and Beverage,2016,April,248.095
Food and Beverage,2016,March,247.677
Food and Beverage,2016,February,248.459
Food and Beverage,2016,January,248.241
Food and Beverage,2015,December,247.468
Food and Beverage,2015,November,247.87
Food and Beverage,2015,October,248.575
Food and Beverage,2015,September,248.09
Food and Beverage,2015,August,247.196
Food and Beverage,2015,July,246.558
Food and Beverage,2015,June,246.245
Food and Beverage,2015,May,245.846
Food and Beverage,2015,April,245.746
Food and Beverage,2015,March,245.689
Food and Beverage,2015,February,246.269
Food and Beverage,2015,January,246.1
Food and Beverage,2014,December,245.585
Food and Beverage,2014,November,244.902
Food and Beverage,2014,October,244.775
Food and Beverage,2014,September,244.26
Food and Beverage,2014,August,243.497
Food and Beverage,2014,July,242.674
Food and Beverage,2014,June,242.027
Food and Beverage,2014,May,242.065
Food and Beverage,2014,April,241.103
Food and Beverage,2014,March,240.226
Food and Beverage,2014,February,239.476
Food and Beverage,2014,January,238.792
Food at home,2023,December,303.005
Food at home,2023,November,303.224
Food at home,2023,October,304.788
Food at home,2023,September,303.925
Food at home,2023,August,303.716
Food at home,2023,July,303.455
Food at home,2023,June,302.335
Food at home,2023,May,302.535
Food at home,2023,April,302.328
